species_value,species_display
Snowy Owl,Snowy Owl
Song Sparrow,Song Sparrow
Sora,Sora
Summer Tanager,Summer Tanager
Swainsons Thrush,Swainson&#39s Thrush
Swamp Sparrow,Swamp Sparrow
Tennessee Warbler,Tennessee Warbler
Tree Swallow,Tree Swallow
Tufted Titmouse,Tufted Titmouse
Veery,Veery
Virginia Rail,Virginia Rail
Warbling Vireo,Warbling Vireo
White-breasted Nuthatch,White-breasted Nuthatch
White-crowned Sparrow,White-crowned Sparrow
White-throated Sparrow,White-throated Sparrow
White-winged Crossbill,White-winged Crossbill
Wild Turkey,Wild Turkey
Wilsons Warbler,Wilson&#39s Warbler
Winter Wren,Winter Wren
Wood Thrush,Wood Thrush
Yellow Warbler,Yellow Warbler
Yellow-bellied Flycatcher,Yellow-bellied Flycatcher
Yellow-bellied Sapsucker,Yellow-bellied Sapsucker
Yellow-billed Cuckoo,Yellow-billed Cuckoo
Yellow-headed Blackbird,Yellow-headed Blackbird
Yellow-rumped Warbler,Yellow-rumped Warbler
Yellow-throated Vireo,Yellow-throated Vireo
